row,Harvard local authority record number,Wikidata item,Label from 110,Label from 410,Historical note,Possible inception date,Possible end date
114,001813861-6,,Harvard Club of Central Pennsylvania (1908),,"An organization of alumni living in central Pennsylvania, the Harvard Club of Central Pennsylvania was founded in 1908 (SOURCE: Harvard University Archives)",1908,
115,001813875-6,,Harvard Club of Central Pennsylvania (1961-),,"An organization of alumni living in central Pennsylvania, the Harvard Club of Central Pennsylvania was founded in 1961 and was still in existence as of 2008 (SOURCE: Harvard University Archives)",1961,2008
116,001813992-2,,Harvard Law School Chancery Club,,"Founded in March 1926 by students of Harvard Law School, the Chancery Club was organized to promote social interaction between students at the Law School by providing opportunities for students to meet and dine together (SOURCE: Harvard University Archives)",1926,
117,001814857-3,,Harvard Club of the Republic of China,Harvard University Club of the Republic of China,"The Harvard Club of the Republic of China, located in Taipei, is a club open to people associated with Harvard living within the Republic of China (SOURCE: Harvard University Archives)",,
118,001814991-X,,Harvard Business School African American Student Union,,,,
119,001814996-0,,Harvard Business School African American Student Union Annual Career/Alumni Conference,,,,
120,001815000-4,,Harvard Business School African American Student Union Annual H  Naylor Fitzhugh Conference,,,,
121,001816026-3,,Harvard French Club,Harvard University Club Français,"The Harvard French Club was founded in 1943. The Club was intended to provide speakers of limited French the opportunity to acquaint themselves with French language, customs, and politics. The French Club thus differed from the Cercle Français, which conducted meetings exclusively in French. The French Club existed into the 1950s (SOURCE: General information by and about the Harvard French Club, Harvard University Archives)",1943,1950
122,001816592-3,,Harvard Club,,"The short-lived Harvard Club (1855-1857), based in Boston, was the first alumni club of Harvard University. It was founded by Charles William Eliot (AB 1853) and Edward Holmes Ammidown (AB 1853) (SOURCE: Records of the Harvard Club, Harvard University Archives)",1855,1853
123,001824260-X,,Harvard Club of Chunking,,The Harvard Club of Chunking was founded in January 1941 by Theodore H. White (Harvard College Class of 1938) and twenty-four Harvard alumni in Chunking and was intended to lobby American lawmakers to suspend trade with Japan as a way of aiding China in the Second Sino-Japanese War (SOURCE: Harvard University Archives),1941,1938
124,002069304-4,,Harvard-Technology Chemical Club ,,"The Harvard-Technology Chemical Club was founded in 1897 to promote research and development in the field of chemistry. Club membership was drawn chiefly from faculty and graduate students of Harvard University and the Massachusetts Institute of Technology (SOURCE: Records of the Harvard-Technology Chemical Club, Harvard University Archives)",1897,
125,002069307-9,,Harvard-Radcliffe Chemical Society,,"The Harvard-Radcliffe Chemical Society was founded in 1947 as a charter member of the Student Affiliate of the American Chemical Society. The Society featured talks on topics in chemistry and related fields given by members of the Chemistry Department, visiting lecturers, and students (SOURCE: Records of the Harvard-Radcliffe Chemical Society, Harvard University Archives)",1947,
126,002069332-X,,Harvard University Christian Association,,"In 1802, the Saturday Evening Religious Society in Harvard College was established for the purpose of promoting the growth of 'practical and experimental religion' at Harvard University. In 1821, the Society joined with the Wednesday Evening Society, an organization with a similar purpose. In 1886, the Society adopted the name The Young Men's Christian Association of Harvard University, and became part of the Intercollegiate Young Men's Christian Association of North America. In 1904, the Association changed its name to the Harvard University Christian Association; the Association dissolved in 1926 (SOURCE: The Records of the Harvard University Christian Association and its predecessor organizations, Harvard University Archives)",1802,1926
127,002161549-7,,Harvard Music Club,Harvard University Music Club,"The Harvard Music Club was founded in 1898 as the Harvard Musical Club. The Club declined during World War II, but was revived in 1946 under the name the Harvard Music Club. In 1958, the Harvard Music Club and the Radcliffe Music Club were officially merged to form the Harvard-Radcliffe Music Club. The Harvard Bach Society Orchestra was founded in the fall of 1954 as an off-shoot of the Harvard and Radcliffe Music Clubs (SOURCE: Harvard University Archives)",1898,1954
128,002161550-0,,Harvard-Radcliffe Music Club,,"The Harvard Music Club was founded in 1898 as the Harvard Musical Club. The Club declined during World War II, but was revived in 1946 under the name the Harvard Music Club. In 1958, the Harvard Music Club and the Radcliffe Music Club were officially merged to form the Harvard-Radcliffe Music Club. The Harvard Bach Society Orchestra was founded in the fall of 1954 as an off-shoot of the Harvard and Radcliffe Music Clubs (SOURCE: Harvard University Archives)",1898,1954
129,002161639-6,,Harvard New College Group,,The Harvard New College Group (NCG) was formed in September 1969 as part of the Harvard New College curriculum (SOURCE: Harvard University Archives),1969,
130,002276476-3,,Harvard Club of St  Louis,Harvard Club of Saint Louis,,,
131,000189789-6,,Society for the Promotion of Theological Education at Harvard University ,Society for the Promotion of Theological Education in Harvard University ,"The Society was founded in 1816 and governed the Harvard Divinity School through a board of members of the Corporation and five trustees of the Society. From 1824 to 1830 the Board oversaw finances. Another board, the Board of Directors, was responsible for administration of the Divinity School. After 1830, the Divinity School faculty assumed direction of the School. In 1831, the Society severed its official connection with the University and was reorganized as the Society for Promoting Theological Education. It continued to provide financial assistance to Divinity School students. Source: Harvard University Archives",1816,1831
132,001010549-2,,Harvard University Alpha Delta Phi,Alpha Delta Phi Harvard Chapter,"HISTORY: Alpha Delta Phi, 1836-1859; carried on unofficially as the Haidee Club, 1859-1865; A.D. Club, 1865; charter issued in 1878 to an organization by the name of Alpha Delta Phi that became the Fly Club in 1906; A.D. and Alpha Delta Phi seem to be used interchangeably in some periods. SOURCE: Harvard University Archives.",1836,1906
133,001049232-1,,Dwight Society,Harvard Medical School Dwight Society,"established in 1946, named after Dr. Thomas Dwight, M.D., LL.D., Parkman Professor of Anatomy at the Harvard Medical School. Like Newman Clubs, organization for Roman Catholic students",1946,
134,001063019-8,,"Burr Hall (Cambridge, Mass )",Varsity Clubhouse (Harvard University),Designed by Thomas Mott Shaw and built in 1911 as an addition to the East Wing of the Harvard Union Building; originally housed the Varsity Club.,1911,
135,001078288-5,,Harvard Neighbors ,Harvard University College Teas Association Newcomers' Club,,,
136,001144415-0,,Cambridge Scientific Club,Cambridge Scientific and Literary Club,"The Cambridge Scientific Club was founded in 1842. Its membership came chiefly, if not entirely, from faculty members of Harvard University. They met to discuss issues of the day, literature, and science. The club was also a social club, meetings were followed by elaborate meals. Meetings generally took place in members' homes. SOURCE: Harvard University rchives",1842,
137,001144941-1,,Harvard University University Teas Committee,Harvard University College Teas Association University Teas Committee,"In 1899, Mrs. Pickering, the first chairman of University Teas Committee, invited several women to join a committee to hold teas for students. The objective of the teas was to personally acquaint students with members of the faculty. Begun in 1900, the teas occurred about six times per year, and all members of departments and graduate schools were invited. The committee discontinuted ca. 1932. They seem to have operated independantly of, but to have shared members with, the College Teas Association. It is unclear whether or not the College Teas should be considered a ""parent organization.""",1899,1932
138,001145304-4,,Phi Beta Kappa Massachusetts Alpha Iota (Harvard University),Phi Beta Kappa (Harvard University Chapter)$7Phi Beta Kappa  Massachusetts Alpha Iota (Harvard University),"The Alpha chapter of Phi Beta Kappa was established at Harvard University in 1781. Radcliffe's chapter of Phi Beta Kappa was established in 1914. In 1995, the Harvard College chapter, Massachusetts Alpha, and the Radcliffe chapter, Massachusetts Iota, combined to form the Massachusetts Alpha Iota chapter. SOURCE: Harvard University Archives",1781,1995
139,001145455-5,,Radcliffe Asian-American Women's Group,Harvard Asian-American Women's Group,"The Radclife Asian-American Women's Group (RAAWG) was founded in 1979, by members of the Harvard-Radcliffe Asian American Association, to meet the social, political, and educations needs of Radcliffe Asian women. Circa 1992, the group became the Association of Radcliffe Asian Americans (SOURCE: Of woven strands and Radcliffe Archives)",1979,1992
140,001155060-0,,Harvard University O K ,O K  Club of Harvard College,"Founded in 1858 by members of the Harvard College Class of 1859; ""its object"" was ""the practice of declamation and everything connected with public speaking,"" but eating, drinking, and socializing certainly formed a large part of the group's proceedings. As of 1885, the society ""maintained its character as a literary society."" SOURCE: Catalogue of the officers and members of the O.K. in Harvard College. Cambridge, Mass. : [The society], 1885.",1858,1885
141,001176320-5,,Student Liberal Club of Harvard University,Harvard University Student Liberal Club,"The Harvard Liberal Club of Boston, an organization of graduates of Harvard, was interested in having an undergraduate counterpart. Thus, the Student Liberal Club of Harvard University was formed in 1919. In 1920, the Club acquired a house at 66 Winthrop Street. The Club maintained these headquarters, organized gatherings, invited speakers, and published a journal, the ""Gad-fly."" SOURCE: Harvard University Archives",1919,1920
142,001187074-5,,Signet Society,Signet (Harvard University),"The Signet Society is an organization composed of Harvard College students. It was founded in 1870 in reaction against the control of class politics by well-organized cliques. As of 1936, its character was that of a literary and social club composed of undergraduates interested in the arts. Its motto is a Greek quotation from Plato (Phaedo: 60, e) and may be translated ""Work and ply the Muses."" SOURCE: Harvard University. Harvard University Handbook : an official guide to.... (Cambridge, Mass. : Harvard University Press, 1936)",1870,1936
143,001235486-4,,Ten O'Clock Club ,Harvard University Ten O'Clock Club ,"The Ten O'Clock Club was formed in the fall of 1899 as a social club for women and men (most members were students or recent graduates of Radcliffe and Harvard colleges), promoting ""evenings of informal fun"" [--records of the club].",1899,
144,001241088-8,,Civil Liberties Union of Harvard,CLUH,"The Civil Liberties Union of Harvard, commonly referred to as CLUH, is an undergraduate student organization dedicated to upholding the civic values of a free and democratic society (SOURCE: Harvard University Archives)",,
145,001259286-2,,Association of Harvard College Class Secretaries,AHCS,"Harvard College Class Secretaries maintain the records of their class as alumni, collecting photographs and prose for class reports and keeping track of directory information for members of their class. The Association was established in 1901; principal in its establishment was Arthur J. Garceau, secretary of the Class of 1891, who was secretary of the assocation from its establishment until 1938. The early efforts of the association were directed toward the Alumni program at Harvard's commencements. The Harvard Alumni Directory office was also a focus for class secretaries; this office provides advice and support to class secretaries.",1901,1938
146,001326485-0,,"Zoological Hall (Cambridge, Mass )",Society Hall (Harvard University),"Zoological Hall, built in 1849, was originally located between Lawrence Hall and Old Cambridge Baptist Church and the Department of Comparative Zoology was located on the second floor. In 1859, the hall was moved to a lot near University Museum and served as a dormitory for museum staff members. Later, in 1876, the building was again moved, this time to Jarvis Field where it was temporarily used as a hospital. Later that same year, Zoological Hall was moved to Jarvis Street and renamed Society Hall. During this time, the occupants of the hall were the Institute of 1770 and the Hasty Pudding Club. Circa 1903, the Student Astronomical Observatory was located there and then, later, the Department of Architecture. Zoological Hall was demolished in 1950.",1849,1950
147,001326971-2,,"Pennypacker Hall (Brookline, Mass )","Union dormitories (Cambridge, Mass )$7Pennypacker Hall (Brookline, Mass )","Greenough, Hurlbut, Prescott, and Pennypacker halls, collectively known as the Union Dorms, are located on Harvard and Prescott streets. Pennypacker Hall is located at 387 Harvard Street in Brookline, Mass. Named for Henry Pennypacker, once the chairman of the Committee on Admissions, Pennypacker Hall was formerly the Roosevelt Apartments. The three buildings were first used in 1956 to alleviate overcrowding but, as of 2001, are used as freshman dormitories. The studio for WHRB, the Harvard-Radcliffe radio station, is located in the basement of Pennypacker Hall.",1956,2001
148,001330969-2,,"Graduate Center Group (Cambridge, Mass )",Harvard Graduate Center (Harvard University),"The Graduate Center Group, also known as the Graduate Commons Group, was built in 1949 and is located at 12-26 Everett Street. Designed by Gropius, Walter and the Architects Collaborative, the Graduate Center is a building complex that consists of seven dormitories and a main commons building. The Group provides housing for graduate students in law, arts and sciences, divinity, design, and education. Ames, Dane, Holmes, James, Richards, Shaw, and Story Halls, as well as Harkness Commons, make up the Graduate Center Group.",1949,
149,001333590-1,,"Union Dormitories (Cambridge, Mass )",Union Dorms (Harvard University),"Greenough, Hurlbut, Prescott, and Pennypackers halls, located on Harvard and Prescott Streets, are collectively known as the Union Dormitories. The buildings were first used to alleviate crowding in 1956, but have since become permanent freshman dormitories.",1956,
150,001333594-4,,"Greenough Hall (Cambridge, Mass )","Union dormitories (Cambridge, Mass )$7Greenough Hall (Cambridge, Mass )","Greenough, Hurlbut, Prescott, and Pennypacker halls, collectively known as the Union Dorms, are located on Harvard and Prescott streets. Greenough Hall, located at 10-12 Prescott Street, is named for Chester Greenough, the first master of Dunster House and Dean of Harvard College.",,
151,001333595-2,,"Hurlbut Hall (Cambridge, Mass )","Union dormitories (Cambridge, Mass )$7Hurlbut Hall (Cambridge, Mass )","Greenough, Hurlbut, Prescott, and Pennypacker halls, collectively known as the Union Dorms, are located on Harvard and Prescott streets. Hurlbut Hall, located at 2 Prescott Street, is named after Hurlbut, a Dean of Harvard College.",,
152,001333597-9,,"Prescott Hall (Cambridge, Mass )","Union dormitories (Cambridge, Mass )$7Prescott Hall (Cambridge, Mass )","Greenough, Hurlbut, Prescott, and Pennypacker halls, collectively known as the Union Dorms, are located on Harvard and Prescott streets. Prescott Hall was built in 1896 and was designed by the architect, A.H Bowditch. As of 2001, Prescott Hall houses 15 students.",1896,2001
153,001334192-8,,"Kex Club (Cambridge, Mass )","78 Mt  Auburn Street (Cambridge, Mass )",The Kex Club was once located at 78 Mount Auburn Street. The University purchased the building in 1933.,1933,
154,001425721-1,,Association of Black Harvard Women,ABHW,"The Association of Black Radcliffe Women, also known as ABRW, was organized in April 1975 in an effort to bring black female undergraduates at Harvard and Radcliffe together for academic, cultural, political, and social purposes. In 1999, the name of the Association changed to the Association of Black Harvard Women, also known as ABHW (SOURCE: Records of the Association of Black Harvard Women, Harvard University Archives)",1975,1999
155,001432722-8,,Philanthropic Society in the Divinity School of Harvard University,Harvard Divinity School Philanthropic Society,"Established May 30, 1831, the Society’s membership included students and faculty of the Harvard Divinity School. The Society met to discuss theology and any ""benevolent projects of the day ... particulaly with respect to the spread of Christian principles...."" The names ""Philanthropic Society in the Theological School of Harvard University"" and ""Philanthropic Society in the Divinity School of Harvard Univesity"" seem to be used interchangably.",1831,
156,001777498-5,,Adams House Drama Society (Harvard University),Harvard University Adams House Drama Society,"Adams House is one of the twelve undergraduate houses in Harvard College. The houses promote activities relating to music, theater, sports, and other special interests. The Adams House Drama Society (occasionally called the Adams House Dramatics Society) produced plays, and now maintains the theatre spaces with the house. (SOURCE: General information by and about the Adams House Drama Society, Harvard University Archives)",,
157,001777611-2,,Adams House Music Society (Harvard University),Harvard University Adams House Music Society,"Adams House is one of the twelve undergraduate houses in Harvard College. The houses promote activities relating to music, theater, sports, and other special interests. The Adams House Music Society (occasionally called the Adams House Musical Society) offers performance spaces for musical groups and performers; performers are often members of the house. (SOURCE: General information by and about the Adams House Music Society, Harvard University Archives)",,
158,001777650-3,,Adams House Film Society (Harvard University),Harvard University Adams House Film Society,"Adams House is one of the twelve undergraduate houses in Harvard College. The houses promote activities relating to music, theater, sports, and other special interests. The Adams House Film Society (also called Adams House Films) screens movies both within Adams House and at larger university venues. (SOURCE: General information by and about the Adams House Film Society, Harvard University Archives)",,
159,001784400-2,,Ænone Boat Club (Harvard University),Harvard University Ænone Club,,,
160,001803194-3,,Society for Religious Improvement (Harvard University),Harvard University Society for Religious Improvement,"Adelphoi Theologia was founded as a secret society on November 10, 1785, by six members of the Harvard College Class of 1786. The society met weekly on Sunday evenings for religious exercises and discussion of a proposed religious question. As of November 4, 1835, the group changed its name to The Society for Religious Improvement, and began publicizing its meetings. The last members were from the Class of 1847, and the last official meeting was held on June 23, 1847. (SOURCE: Records of Adelphoi Theologia and The Society for Religious Improvement, Harvard University Archives.)",1785,1847
161,001803887-5,,Agassiz Zoological Club (Harvard University),Harvard University Agassiz Zoological Club,"The Agassiz Zoological Club was founded in April, 1859, by students in Harvard’s Museum of Comparative Zoology. The Club met weekly for discussion of scientific questions and members’ presentations on topics in the natural sciences. Original members included F. W. Putnam, A. Hyatt, A. Ordway, S.H. Scudder, and A.E. Verrill. Other members included E.S. Morse, N.S. Shaler, B.G. Wilder, A.S. Packard, among others. The Club disbanded in June 1862",1859,1862
162,001804581-2,,Patriotic Association (Harvard University),Patriotic Association of Harvard University,"In 1801, the Speaking Club changed its name to the Patriotic Association. In 1825, the Patriotic Association joined with the Hermetic Society and the Akribologoumenoi to become the Institute of 1770 (SOURCE: Harvard University Archives)",1801,1770
163,001804582-0,,Speaking Club of Harvard College,Speaking Club (Harvard University),"The Speaking Club was founded in 1770. In 1801, the name changed to the Patriotic Association (SOURCE: Harvard University Archives)",1770,1801
164,001806959-2,,Ames Pleading Club (Harvard Law School),Harvard Law School Ames Pleading Club,"Apparently organized in the 1870s, in 1833, the Ames Pleading Club combined with the Gray Law Club to form the Ames-Gray Law Club (SOURCE: General information by and about the Ames Pleading Club, Harvard University Archives)",1870,1833
165,001807002-7,,Amphadon (Harvard University),Harvard University Amphadon Club,"The Amphadon was founded in 1894 by William Sumner Appleton (AB 1896) as a student social club with a literary side: members met to read and discuss papers written by members. The club was defunct circa 1906 (SOURCE: Records of the Amphadon, Harvard University Archives)",1894,1906
166,001807066-3,,Anonyma Society (Harvard University),Harvard University Anonyma Society,"The Anonyma Society was a secret freshman debating society that flourished at Harvard during the 1850s. Every year, a committee of the Society selected the first ten members from the freshman class, and then turned the society over to those, who in turn chose the rest. The freshmen of the Society gave an annual supper to the sophmores, who then left the society (SOURCE: Records of the Anonyma Society, Harvard University Archives)",1850,
167,001807148-1,,Appleton Club (Harvard University),Harvard Appleton Club,"In 1947, the Appleton Club grew out of a group of veterans attending the morning prayer service held in Appleton Chapel. Open to all students, the Club served as a non-sectarian Christian organization, and was for a time associated with the Student Christian Movement. The Club sponsored small, student-directed discussions, larger club meetings, and public lectures. The Club became defunct in 1953 (SOURCE: Records of the Appleton Club, Harvard University Archives)",1947,1953
168,001809257-8,,Baha'i Association at Harvard University,Baha'i Association of Harvard and Radcliffe,"The Baha'i Club at Harvard was founded in the fall of 1962 as a student association with the purpose of studying and promoting the principles and ideals of the Baha’i Faith. As of 2008, the Baha'i Association at Harvard University had membership open to all students and faculty at Harvard. Throughout its history, the group has been known by a variety of names, including the Harvard-Radcliffe Baha'i Association, the Harvard Baha'i Association, and the Harvard Baha'i Club, among others (SOURCE: Records of the Baha'i Association of Harvard University, Harvard University Archives)",1962,2008
169,001809681-6,,Binnacle Club of Harvard University,Harvard University Binnacle Club$7Binnacle Club of Harvard University,"The Harvard Binnacle Club was founded in December 1905 for sailing enthusiasts at Harvard. It was organized as a social organization, not as a yacht club, and arranged for yacht owners and designers to give talks before the club. In 1907, the club changed its name to the Binnacle Club of Harvard University. Sometime around 1911, the Club disbanded, arranging a banquet to use up the surplus money in the treasury (SOURCE: Records of the Binnacle Club of Harvard University, Harvard University Archives)",1905,1911
170,001809729-4,,Blackstone Law Club (Harvard University),Harvard University Blackstone Law Club,,,
171,001809746-4,,Blue Shirt Club of Harvard,Harvard University Blue Shirt Club,"An undergraduate student organization, the Blue Shirt Club of Harvard was organized in December 1923. Dedicated to wearing blue shirts (rather than white) four times a month, the Club hoped to cut down the laundry bills of its members. Other goals of the organization included condemnation of both the Ku Klux Klan and the use of automobiles by college students (SOURCE: General information by and about the Blue Shirt Club, Harvard University Archives)",1923,
172,001809816-9,,Boots and Wings Club (Harvard University),Harvard University Boots and Wings Club,"The Boots and Wings Club, an organization open only to veteran parachutists studying at Harvard, was organized in 1946. The Club was intended to be a social organization extending the camaraderie found in the United States Army Parachute Troops (SOURCE: Records of the Boots and Wings Club, Harvard University Archives)",1946,
173,001809885-1,,Boston English High School Club (Harvard University),Harvard University Boston English High School Club,"The Club included alumni of the English High School of Boston, and met for social evenings. The Club also encouraged current students of the high school to attend Harvard. The Club was in existence circa 1911-1916 (SOURCE: Harvard University Archives)",1911,1916
174,001809887-8,,Boston Latin School Club (Harvard University),Harvard University Boston Latin School Club,The Boston Latin School Club was existence circa 1911-1917. (Organizations of similar names existed from 1891-1892 and 1894-1896; it is unclear how these are related.) The Club presumably consisted of Harvard students who were also alumni of Boston Latin School (SOURCE: Harvard University Archives),1911,1896
175,001810794-X,,Texas Club of Harvard,Harvard University Texas Club,The Texas Club of Harvard was a social and cultural club open to all undergradate students. The Club maintained contact with alumni clubs in Texas (SOURCE: Harvard University Archives),,
176,001810934-9,,Brookline High School Club (Harvard University),Harvard University Brookline High School Club,"The Club was made up of alumni of Brookline High School, and met for social meetings. The Club was also known as ""S.I.G.,"" and was in existence circa 1908-1921 (SOURCE: Harvard University Archives)",1908,1921
177,001811345-1,,Boylston Chemical Club (Harvard University),Harvard University Boylston Chemical Club,"The Boylston Chemical Club was founded by Theodore W. Richards and other chemistry students in 1885. Membership was open at first to any student of Harvard University who had taken a collegiate course in Chemistry, but later was opened to all interested in chemistry. The club offered its members an opportunity for personal contact with prominent men in various fields of industry and research, procured as speakers, and members automatically became members of the Society of Harvard Chemists upon graduation. In honor of its fiftieth anniversary in 1935, the club adopted a new motto: ""S.M.D.R."" or ""Speakers, Movies, Discussion, and Refreshments"" (SOURCE: Harvard University Archives)",1885,1935
178,001813673-7,,Cambridge Student Cooperative Society (Harvard University),Harvard University Cambridge Student Cooperative Society,"The Cambridge Student Cooperative Society was founded at Harvard University in February 1938 to serve all graduate students across the different schools and departments. The Society provided a cooperative dining room, located in the Divinity School's Andover Hall, as well as an opportunity for social interaction among graduate students (SOURCE: Records of the Cambridge Student Cooperative Society, Harvard University Archives)",1938,
179,001813777-6,,Canterbury Society (Harvard University),Harvard University Canterbury Society,"The Canterbury Society was a voluntary society founded in 1959 and named in honor of George W. ""Skeets"" Canterbury (AB 1901), Harvard's goalie coach during the pre-World War II era. The sole criterion for membership in the Society was having served as a Harvard hockey goaltender. The Society went co-ed in 1979. The group held an annual meeting and sponsored the Canterbury Cups presented to the outstanding men's and women's goaltenders in the Ivy League (SOURCE: Records of the Canterbury Society, Harvard University Archives)",1959,1979
180,001813780-6,,Carbon Club of Harvard University,Harvard University Carbon Club,The Carbon Club was a semi-secret club founded around 1900 open to graduate students in chemistry and invited honorary members (SOURCE: Harvard University Archives),1900,
181,001813851-9,,Central New York Club of Harvard University,Harvard University Central New York Club,The Central New York Club of Harvard University was founded in November 1895 by students from Central New York. The club was intended to promote the interests of Harvard throughout Central New York and to provide opportunites for social interaction among students from the region. The club was in existence circa 1895-1900 (SOURCE: Harvard University Archives),1895,1900
182,001813996-5,,Channing Club (Harvard Divinity School),Harvard Divinity School Channing Club,"Devoted to humanitarian study and interests, the Channing Club was founded by students in the Harvard Divinity School in 1912 (SOURCE: Records of the Channing Club, Harvard University Archives)",1912,
183,001814722-4,,Chicago Club (Harvard University),Harvard University Chicago Club,"The Chicago Club was formed by a group of Harvard students from the Chicago area in order to charter a Pullman car at reduced rates when traveling to Chicago for vacations. The Club was in existence off and on, circa 1900-1919 (SOURCE: Harvard University Archives)",1900,1919
184,001814725-9,,Chicago University High School Club (Harvard University),Harvard University Chicago University High School Club,"The Club was founded by Harvard students who were also alumni of the University of Chicago’s University High School. The Club held infrequent informal meetings, and was in existence circa 1912-1913 (SOURCE: Harvard University Archives)",1912,1913
185,002069298-6,,Chemical Engineering Society (Harvard University),Harvard University Chemical Engineering Society,"The Chemical Engineering Society was organized in 1906 during a period when the field of chemical engineering was becoming a distinct academic discipline (SOURCE: Records of the Chemical Engineering Society, Harvard University Archives)",1906,
186,002069313-3,,Saturday Evening Religious Society in Harvard College,Harvard University Saturday Evening Religious Society ,"In 1802, the Saturday Evening Religious Society in Harvard College was established for the purpose of promoting the growth of 'practical and experimental religion' at Harvard University. In 1821, the Society joined with the Wednesday Evening Society, an organization with a similar purpose. In 1886, the Society adopted the name The Young Men's Christian Association of Harvard University, and became part of the Intercollegiate Young Men's Christian Association of North America. In 1904, the Association changed its name to the Harvard University Christian Association; the Association dissolved in 1926 (SOURCE: The Records of the Harvard University Christian Association and its predecessor organizations, Harvard University Archives)",1802,1926
187,002069314-1,,Wednesday Evening Society (Harvard University),Harvard University Wednesday Evening Society ,"In 1819, the Wednesday Evening Society was founded at Harvard University. In 1821, it joined with the Saturday Evening Religious Society in Harvard College, an organization with a similar purpose. In 1886, the Society adopted the name The Young Men's Christian Association of Harvard University, and became part of the Intercollegiate Young Men's Christian Association of North America. In 1904, the Association changed its name to the Harvard University Christian Association; the Association dissolved in 1926 (SOURCE: The Records of the Harvard University Christian Association and its predecessor organizations, Harvard University Archives)",1819,1926
188,002069326-5,,The Society of Christian Brethren in Harvard University,Harvard University Society of Christian Brethern ,"The Society of Christian Brethern in Harvard University was founded in 1821 through the joining of the Saturday Evening Religious Society in Harvard College and the Wednesday Evening Society. In 1886, the Society adopted the name The Young Men's Christian Association of Harvard University, and became part of the Intercollegiate Young Men's Christian Association of North America. In 1904, the Association changed its name to the Harvard University Christian Association; the Association dissolved in 1926 (SOURCE: The Records of the Harvard University Christian Association and its predecessor organizations, Harvard University Archives)",1821,1926
189,002069328-1,,The Young Men’s Christian Association in Harvard University,Harvard University Young Men's Christian Association,"In 1886, the name of the Society of Christian Brethern in Harvard University was changed to Young Men's Christian Association of Harvard University, and the society became part of the Intercollegiate Young Men's Christian Association of North America. The Society of Christian Brethern in Harvard University had been formed in 1821 through the joining of the Saturday Evening Religious Society in Harvard College and the Wednesday Evening Society. In 1904, the Association changed its name to the Harvard University Christian Association; the Association dissolved in 1926 (SOURCE: The Records of the Harvard University Christian Association and its predecessor organizations, Harvard University Archives)",1886,1926
190,002161548-9,,Musical Club of Harvard University,Harvard Musical Club,"The Harvard Musical Club was founded in 1898 to promote musical knowledge and appreciation among the members of the University. Sponsoring an annual concert, the Club was primarily known for productions of original compositions by students. The Club declined during World War II, but was revived in 1946 under the name the Harvard Music Club. In 1958, the Harvard Music Club and the Radcliffe Music Club were officially merged to form the Harvard-Radcliffe Music Club (SOURCE: Harvard University Archives)",1898,1958
191,002161638-8,,New College Group for Educational Change (Harvard University),Harvard University New College Group for Educational Change,This group was founded by student members of the Harvard New College who wanted to instill New College ideas into the curriculum of Harvard University. Five of the members were elected to the Committee on Undergraduate Education (SOURCE: Harvard University Archives),,
192,002161862-3,,1907 Dinner Club (Harvard University),Harvard University 1907 Dinner Club,Dinner club founded by members of the Harvard College Class of 1907 to keep alive friendships formed at Harvard (SOURCE: Harvard University Archives),1907,
